antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,titulo,latitud,longitud,preciomt2
0,4,4,2,517,565000,Venta de Casa 4 Dorm. en Isla Mocoli,-2.102442901125957,-79.8670732875496,1092.84332688588
8,4,3,2,519,530000,Villa Venta Entre Lagos,-2.0907999,-79.87306769999998,1021.194605009634
0,3,3,2,350,450000,Se Vende Casa en Terranostra,-2.188112932987275,-79.9998047529175,1285.7142857142858
0,4,3,2,233,215000,"Casa en Construccion, La Brisa, Ciudad Celeste, 4 Dorm 3.5 Baños, Estudio.",-2.071618811559362,-79.83835818388673,922.7467811158798
22,3,3,2,260,130000,"En Venta Casa, Samanes 5 Al Norte de Guayaquil",-2.1111844,-79.89618000000002,500.0
0,3,2,2,133,90000,Casa en Venta Excelente Ubicación 3 Dorm. Marina d'Or Park - Vía Salitre,-2.04747348448763,-79.87108014641876,676.6917293233083
7,3,3,2,216,199000,"Venta de Casa, Urb. Vía Al Sol, Vía a La Costa",-2.1896713,-80.00842519999998,921.2962962962963
20,0,3,2,500,1100000,Excelente Ubicación Comercial Victor Emilio Estrada,-2.170765139522476,-79.90910795991056,2200.0
7,3,2,2,101,90000,"Casa en Venta, Urb. Laguna Hollywood Park, Vía Aurora",-2.0490805,-79.8814218,891.0891089108911
14,3,3,2,240,320000,Casa en Venta Samborondon Primeros Kms,-2.1531352,-79.93115899999998,1333.3333333333333
5,3,4,2,273,330000,Vendo Casa 4 Dorm. Samborondon,,,1208.7912087912089
3,4,5,2,180,200000,Bosques de La Costa: Vendo Hermosa Casa 4 Dorm. con Acabados Mejorados,-2.1846154,-79.9699665,1111.111111111111
0,4,4,2,397,342000,Se Vende Linda Casa a Estrenar Terranostra,-2.186236754499177,-80.00201489314577,861.4609571788413
5,3,5,2,625,360000,"Casa a La Venta en El Porton de Las Lomas, Urdesa",-2.1618057,-79.9095082,576.0
5,3,3,2,650,1500000,Plaza Lagos Urb. Islalago Vendo Casa de Lujo,-2.0979672,-79.874552,2307.6923076923076
1,0,0,0,835,285000,"Casa en Venta, Urbanización Santa Cecilia",-2.160032011635085,-79.93553028952294,341.31736526946105
0,4,4,2,322,430000,Vendo Casa en Samborondon Km 6 $430.000 $430.000,-2.1085513,-79.87191339999998,1335.4037267080746
0,3,3,2,266,280000,Estrene Hermosa Villa en Compra - Puerto Azul!,-2.189258854883414,-79.96493716043551,1052.6315789473683
30,3,3,2,703,250000,"Ceibos - Santa Cecilia Casa Una Sola Planta 3 Dorm., Jardín Amplio",-2.1618543,-79.94353969999997,355.6187766714082
0,4,0,0,300,268000,Casa en Venta en Villas del Bosque,-2.201616994495959,-80.069224676474,893.3333333333334
9,4,4,2,532,550000,Vendo Casa Sector San Isidro - Vía Samborondon - 2 Plantas con Jacuzzi,-2.1190084,-79.86893909999998,1033.8345864661653
7,5,5,2,217,190000,Ciudad Celeste Vendo Casa 4 Dorm.,-2.074448304497416,-79.85083400744628,875.5760368663595
12,5,3,2,175,96000,Venta Casa Guayacanes: Comercial en Plena Av Narcisa de Jesus,-2.116420056763181,-79.88338229592568,548.5714285714286
8,3,2,0,120,78500,"Se Vende Casa, Urb. Milann - Ferrara, Vía Salitre",-2.0380771,-79.8701254,654.1666666666666
35,4,3,1,447,160000,"Casa Esquinera de Venta con Restaurante Equipado, 314 m², 6 de Marzo y Colombia",-2.2105838,-79.89033540000003,357.94183445190157
10,3,2,2,82,90000,"Vendo Hermosa Propiedad en Metrópolis 2 (Usd$90,000) Solo de Contado",-2.065447782912578,-79.91764401632997,1097.560975609756
9,3,3,2,230,220009,Se Vende Hermosa Casa en Ciudad Celeste Etpa Marina,-2.0649399,-79.84058820000001,956.5608695652174
9,4,4,2,480,530000,"Casa en Venta - Urb Exclusiva - con Vista Al Lago - Us$530,000",-2.092127924857719,-79.87316607929722,1104.1666666666667
14,6,8,4,848,795000,Casa en Venta en Samborondon 6 Dorm. Excelente Urbanizacion,,,937.5
20,5,7,4,540,450000,Venta de Amplia Casa en Los Olivos Guayaquil,-2.168061419690573,-79.94538398308106,833.3333333333334
15,3,3,2,1,170000,Casa y Terreno Via a La Costa,-2.189836316424229,-79.9669744879032,170000.0
11,4,4,1,220,270000,Casa - en Venta Via Samborondon Km5.5,-2.107305499999999,-79.872252,1227.2727272727273
8,4,4,2,609,395000,Vendo Hermosa Casa en Puerto Azul,-2.190775876327559,-79.96963102621157,648.6042692939245
5,3,3,2,300,350000,Amplia y Hermosa Casa en Via Samborondon,-2.086344102065864,-79.8736059619855,1166.6666666666667
10,0,4,2,295,275000,Terranostra Etapa Tarragona Hermosa Casa 4 Dorm.,-2.189881899113615,-80.00382806644876,932.2033898305085
0,3,3,2,180,192000,Via La Costa Casa de 3 Dorm. 180 m,-2.18653062349562,-79.99438996008303,1066.6666666666667
1,3,3,1,160,86500,"Venta de Casa de 1 Planta con 3 Habitaciones en Urb Villa Club, Etapa Magna",-2.076758,-79.9401216,540.625
0,3,2,1,123,69000,Casa Modelo Palacio 5b Villa del Rey,-2.0248305,-79.91677709999999,560.9756097560976
6,6,6,2,857,750000,Casa de Venta en Palmar del Río en Vía Samborondón,-2.1231067,-79.87098370000001,875.1458576429405
10,3,3,1,383,285000,Samborondon - Estancias del Rio Casa en Venta,-2.191526053604974,-79.88158962297365,744.1253263707572
20,4,3,4,680,240000,"Venta Casa en Cdla. Naval Norte con 4 Dorm., Parqueos y Piscina",-2.1788764,-79.8891817,352.94117647058823
2,4,4,2,600,450000,Moderna y Amplia Casa en Isla Mocoli de Venta,-2.092127924857719,-79.87316607929722,750.0
0,3,2,2,96,63950,Villa Bonita El Mejor Lugar Para Vivir Via Km 15.5 Via a Daule,-2.140982,-79.93412869999997,666.1458333333334
0,4,4,2,300,400000,"Proyecto en Venta con Diseño Personalizado en Isla Mocoli, Pacifica Cerca de Plaza Lagos",-2.1037661,-79.8730712,1333.3333333333333
12,4,3,2,280,320000,Plaza Real Casa de 4 Dorm. y Estudio en Venta Lindo Jardín con Jacuzzi,-2.1403254,-79.8636998,1142.857142857143
8,4,4,2,350,300000,Vendo Via Samborondon Linda Casa. 4 Habitaciones. $300.000 Primeros Kilom,-2.113153006611033,-79.87138509251133,857.1428571428571
10,3,2,2,140,100000,Casa de Venta en Las Primeras Etapas de Villa Club,-2.051027949496627,-79.89088837553254,714.2857142857143
28,4,2,0,150,76000,Casa en Venta en Floresta Rentera 150 m²,-2.2533523,-79.8842826,506.6666666666667
13,3,2,1,164,79000,"Casa en Valle Alto, Via a La Costa! 3 Dorm. 2 Baños, Patio",-2.196655982737348,-80.06913502491454,481.7073170731707
0,3,3,2,300,200000,"Venta de Casa de Estreno, Urb. El Condado, Km. 14 Av León Febres Cordero, La Aurora - Puntilla",-2.0741229,-79.84792470000002,666.6666666666666
0,4,4,1,234,265000,"Venta Casa Urb. Ciudad Celeste, en Construccion, Diseño Exclusivo y Moderno",-2.0715709,-79.84227920000001,1132.4786324786326
5,3,2,1,394,370000,Hermosa Casa en Via a Samborondon,-2.125641391211939,-79.86871620685423,939.0862944162436
8,4,0,0,600,1000000,Casa Venta en Puerto Azul con Piscina,-2.192115999999999,-79.9668308,1666.6666666666667
