antigüedad,cuartos,cuartosdebaño,estacionamiento,metroscuadradostotales,precio,publicado,tipodevendedor,titulo,lat,long
8,3,3,1,202,280000,,,"Casa en Km 2.2 Vía Samborondon, Urb Central Park",-2.1294273,-79.8667337
20,3,4,0,76,65000,,,Vendo Casa de Dos Pisos en Sauces 6 - Mae. Recalde,-2.130663440049926,-79.89760671971862
5,3,2,1,72,55000,,,"Casa en Venta, Ciudad Santiago",-1.862179999999999,-79.97766899999999
21,5,5,4,728,280000,,,Vendo Hermosa Casa Esquinera en Urb. Puerto Azúl - A. Marín,-2.186680450956173,-79.97113306325991
30,4,4,2,300,280000,,,"Venta Casa Olivos1 Vía a La Costa: Linda y Amplia, Cuatro Dorm.",-2.168353946308851,-79.94294466347657
20,1,2,0,80,35000,,,Casa en Venta Al Sur de La Ciudad - F. Rodríguez,-2.2043128,-79.9295654
6,5,5,1,183,155000,,,Vendo Hermosa Casa Ciudad Celeste 5 Dorm.,-2.068341170525824,-79.83821612224642
6,3,3,2,374,320000,,,Venta de Moderna Casa en Vía Samborondon Km 1,-2.1447394,-79.8644152
6,3,3,2,180,168500,,,Vendo Linda Casa con Jacuzzi en Ciudad Celeste - La Brisa,-2.0734632,-79.84164249999998
15,4,2,2,580,140000,,,Casa de Venta en Lago de Capeira,-2.0059491,-79.9642126
A estrenar,3,3,2,180,157000,,,Vía a La Costa - Villas del Bosque Estreno 3 Dorm.,-2.201768988291272,-80.06073692460319
40,4,2,0,82,55000,,,Venta de Casa en Sauces 5,-2.123073856468501,-79.89241025344239
15,0,3,2,217,120000,,,Casa en Venta en Bim Bam Bum Más un Anexo con 2 Parqueos,-2.163744524582205,-79.92809627672119
2,3,4,2,220,290000,,,Lujosa Casa en Urb. Privada Frente a La Via León Febres Cordero,-1.9606263,-79.72715099999999
,1,4,4,1010,899000,,,Km. 6 Vía Samborondon Castelago Hermosa Casa en Venta,-2.0957451,-79.8712972
,1,2,3,287,250000,,,Venta de Villa de Oportunidad Excelente Ubicación,-2.1231067,-79.8709837
15,9,6,4,710,475000,,,Venta: Casa Rentera + Locales Comerciales –frente Iglesia Inmaculada Concepción,-2.2123524,-79.89413400000001
En construcción,5,5,2,275,250000,,,Proyecto de Venta en La Arboleda en Ciudad Celeste en Vía Samborondón,-2.07179360121206,-79.84207850322787
18,6,6,10,1400,720000,,,Venta de Casa Corredor Comercial Kennedy Vieja,-2.176789490589865,-79.89842595183717
A estrenar,3,3,0,231,290000,,,Casa - Samborondón,-2.132763683449999,-79.8675970263
A estrenar,0,0,0,1101,990000,,,Casa - Guayaquil,-2.164276999999999,-79.8779834
12,0,4,2,500,305000,,,Vendo Linda Casa Via Samborondon,-2.132356271064043,-79.87308073248289
5,3,3,0,560,575000,,,"Isla Mocoli - Casa de 1 Piso - Full Automatizada - Moderna - $575,000",-2.104158358380436,-79.86055015522538
15,3,2,2,90,68000,,,Se Vende Casa de Oportunidad en Mucho Lote Etapa Monaco - Calle Vehicular,-2.0820049,-79.92294729999998
A estrenar,4,3,2,200,172000,,,Oportunidad Se Vende Casa por Estrenar en El Condado Vicolinci,-2.047978899999999,-79.9050615
2,0,0,0,435,150000,,,"Casa en Venta, Miraflores, Av Central",-2.165758301058737,-79.92092605819704
25,4,3,2,98,100000,,,"Venta Casa de 1 Planta en Alborada 11ava Etapa, Cerca Albocentro",-2.132938,-79.89878770000001
10,4,3,2,190,180000,,,Ciudad Celeste - Casa en Venta - 4d - Us$,-2.072444933159559,-79.83653551529937
8,4,4,2,465,550000,,,Vendo Casa Urbanización Entre Lagos - Samborondón / Km 5 (Esquinera),-2.0907999,-79.87306769999998
15,5,5,2,373,205000,,,"Casa en Venta Cdla. Urdenor 1, Norte de Guayaquil",-2.146297399999999,-79.9031776
,1,1,3,77,71000,,,Casa - Samborondón,-2.0237764,-79.9178709
A estrenar,3,3,1,96,64338,,,Villa Bonita Modelo Adriana Comercial Oportunidad!,-2.065543000357057,-79.97534527060543
A estrenar,3,2,2,140,155000,,,Se Vende Hermosa Casa en Urb. Napoli de Tres Dorm. Buen Precio,-2.036681883087718,-79.87056792579494
A estrenar,4,5,0,307,360000,,,Venta Casa de Estreno - 2 Pisos en Vía Samborondón - A. Marín,-2.106763492260194,-79.87286030787658
A estrenar,3,3,0,96,63950,,,Villa Bonita Vendo Casa Amplia 2 Plantas,-2.061559499999982,-79.97740534726563
20,4,3,2,350,260000,,,Vendo Casa en Primeros Kms de Samborondon,-2.059297785363572,-79.87595557667271
A estrenar,4,4,2,517,565000,,,Venta de Casa 4 Dorm. en Isla Mocoli,-2.102442901125957,-79.8670732875496
En construcción,4,3,2,233,215000,,,"Casa en Construccion, La Brisa, Ciudad Celeste, 4 Dorm 3.5 Baños, Estudio.",-2.071618811559362,-79.83835818388673
A estrenar,3,2,2,133,90000,,,Casa en Venta Excelente Ubicación 3 Dorm. Marina d'Or Park - Vía Salitre,-2.04747348448763,-79.87108014641876
A estrenar,4,4,2,397,342000,,,Se Vende Linda Casa a Estrenar Terranostra,-2.186236754499177,-80.00201489314577
5,3,3,2,650,1500000,,,Plaza Lagos Urb. Islalago Vendo Casa de Lujo,-2.0979672,-79.874552
1,0,0,0,835,285000,,,"Casa en Venta, Urbanización Santa Cecilia",-2.160032011635085,-79.93553028952294
