antigüedad,cuartos,cuartosdebaño,estacionamiento,latlong,metroscuadradostotales,precio,publicado,tipodevendedor,titulo
Entre 10 y 20 años,3,1,Si,"https://www.google.com/maps/place/-2.0536537170410156,-79.89422607421875",80, $43.900,Publicado hace 6 hs,Dueño Directo,Departamento en Venta Alborada Apanor
Entre 10 y 20 años,2,2,,"https://www.google.com/maps/place/-2.161486,-79.917257",101,$34.000,Publicado hace 6 hs,,Departamento de venta en Salinas - La Floresta – código:16253
Entre 20 y 50 años,4,2,Si,"https://www.google.com/maps/place/-2.144806385040283,-79.89968872070312",163,$120.000,Publicado hace 6 hs,Inmobiliaria,Garzota Venta Departamento Pbaja 4 Dormi
Entre 5 y 10 años,3,2,Si,"https://www.google.com/maps/place/-2.2300000190734863,-79.9010009765625",160, $71.800,Publicado hace 6 hs,Dueño Directo,VILLA LA JOYA ETAPA ONIX
Entre 5 y 10 años,5,5,Si,"https://www.google.com/maps/place/-2.2179999351501465,-79.92400360107422",693, $550.000,Publicado hace 6 hs,Inmobiliaria,"VENDO HERMOSA CASA EN SAMBORONDOM, KM. 5.5"
Entre 5 y 10 años,3,3,Si,"https://www.google.com/maps/place/-2.1589999198913574,-79.947998046875",200, $145.000,Publicado hace 6 hs,Inmobiliaria,VIZCAYA GARDENS VENTA DEPARTAMENTO FULL AMOBLADO 2 PARQUEOS Y BODEGA
Entre 5 y 10 años,6,7,Si,"https://www.google.com/maps/place/-2.118000030517578,-79.89299774169922",498,$135.000,Publicado hace 6 hs,Inmobiliaria,Se Vende Casa en Guayacanes .DE CONTADO !!!
Entre 10 y 20 años,1,10,Si,"https://www.google.com/maps/place/-2.1089999675750732,-79.90299987792969",500, $250.000,Publicado hace 6 hs,Dueño Directo,casa rentera en Samanes 6
Hasta 5 años,3,3,,"https://www.google.com/maps/place/-2.161486,-79.917257",160,$129.000,Publicado hace 6 hs,,Casa de venta en Urb. Villa Club - Etapa Jupiter – código:15151
Entre 20 y 50 años,3,3,,"https://www.google.com/maps/place/-2.161486,-79.917257",138,$79.000,Publicado hace 6 hs,,Departamento de venta en Urdesa - Víctor Emilio Estrada – código:14489
